qid	corpus	pdf_pages	question
bash-neg-06	bash	-	What is the time complexity of quicksort?
bash-neg-07	bash	-	How do you train a convolutional neural network in PyTorch?
cu-neg-05	coreutils	-	What does the git rebase command do?
cu-neg-06	coreutils	-	How do you create a Kubernetes Deployment?
cu-neg-07	coreutils	-	What does the SELECT statement do in SQL?
mk-neg-05	make	-	How do you deploy a smart contract on Ethereum?
mk-neg-06	make	-	How do you write a for loop in Python?
mk-neg-07	make	-	What is the boiling point of water at sea level?
cu-neg-08	coreutils	-	How do you install a package with apt-get?
mk-neg-08	make	-	What does the docker run command do?
